target,T/K,p/bar,effect_measure,status,mixed_support_cells,chemistry_pairs,control_pairs,unadjusted_linker_minus_control,unadjusted_bootstrap_95_low,unadjusted_bootstrap_95_high,adjusted_linker_minus_control,adjusted_bootstrap_95_low,adjusted_bootstrap_95_high,adjustment_change,relative_adjustment_change,adjusted_design_condition_number,failed_bootstrap_replicates
landfill_CH4,338.0,0.01,absolute_log_difference,OK,36,4337,4585,0.0278403491876329,0.0182276017721455,0.0382517002188789,0.0223960125745335,0.0080962721010947,0.0370641207032121,-0.0054443366130993,-0.1955556152118171,11.806935635574932,0
landfill_CH4,338.0,4.4,absolute_log_difference,OK,36,4337,4585,0.0146478802016927,0.0083640282789274,0.0207356411172111,0.0129794922207644,0.0050842502858369,0.021262777625407,-0.0016683879809282,-0.1138996194640818,11.806935635574932,0
landfill_CO2,338.0,0.26,absolute_log_difference,OK,36,4337,4585,0.0461503727910658,0.0288655341950774,0.0654310841347508,0.0267663320721506,0.0070684070311203,0.0482808549832613,-0.0193840407189152,-0.4200191579528858,11.806935635574932,0
landfill_CO2,338.0,3.2,absolute_log_difference,OK,36,4337,4585,0.025284197193005,0.017974905250646,0.032617353344447,0.0161170773369123,0.0063181475123603,0.0242073237743416,-0.0091671198560926,-0.3625632163092276,11.806935635574932,0
methane_purification_CH4,298.0,0.9,absolute_log_difference,OK,36,4337,4585,0.04005557743808,0.0254247584088705,0.0561196326585218,0.0259510941461572,0.0149982978552317,0.0379457956616513,-0.0141044832919228,-0.3521228301782995,11.806935635574932,0
methane_purification_CH4,298.0,9.0,absolute_log_difference,OK,36,4337,4585,0.0160318940438391,0.0104852467517327,0.0217901259538055,0.0167618620710298,0.0095831527270733,0.0248360118889645,0.0007299680271907,0.0455322387482521,11.806935635574932,0
methane_purification_CO2,298.0,0.1,absolute_log_difference,OK,36,4337,4585,0.0490548753635477,0.0319491262887084,0.0683089261479234,0.0240183548845799,0.0085116800416378,0.039641417963226,-0.0250365204789678,-0.5103778226612775,11.806935635574932,0
methane_purification_CO2,298.0,1.0,absolute_log_difference,OK,36,4337,4585,0.0200516170851541,0.0115110852349403,0.0286743647365551,0.0155504827147947,0.0055958959862478,0.0252852121004671,-0.0045011343703593,-0.2244773751286077,11.806935635574932,0
methane_storage_CH4,298.0,5.8,absolute_log_difference,OK,36,4337,4585,0.0298656313169895,0.0223942611182228,0.0383769538593524,0.0215283534098318,0.0138827746644762,0.0295266969494261,-0.0083372779071577,-0.2791596071975538,11.806935635574932,0
methane_storage_CH4,298.0,65.0,absolute_log_difference,OK,36,4337,4585,0.0124758539177628,0.0087971999297093,0.0163935528098572,0.0031073008681323,-0.0003094022065811,0.0066685337402931,-0.0093685530496305,-0.7509348146736322,11.806935635574932,0
post_combustion_CO2,298.0,0.015,absolute_log_difference,OK,36,4337,4585,0.0265253093876205,0.0079961645649672,0.0445305978536303,0.0200128743096101,-0.0073619729192923,0.0458640317403066,-0.0065124350780104,-0.2455177801262446,11.806935635574932,0
post_combustion_CO2,298.0,0.15,absolute_log_difference,OK,36,4337,4585,0.0448713911885422,0.0252886612549741,0.0674684981550444,0.0190303748650329,0.0039745306935684,0.0346235343742914,-0.0258410163235092,-0.5758906875636983,11.806935635574932,0
post_combustion_N2,298.0,0.075,absolute_log_difference,OK,36,4337,4585,0.0133189895965507,0.007208904731954,0.0197534918433003,0.0100057647435703,-0.0007978354410117,0.020631945530762,-0.0033132248529803,-0.2487594745053646,11.806935635574932,0
post_combustion_N2,298.0,0.75,absolute_log_difference,OK,36,4337,4585,0.0059678831877671,0.0010066836985218,0.0106152634913068,0.0080616118781417,0.0026558445652513,0.013880760776485,0.0020937286903746,0.35083271982708,11.806935635574932,0
pre_combustion_CO2,313.0,0.4,absolute_log_difference,OK,36,4337,4585,0.0383747869730457,0.0185782640030847,0.0581404809367332,0.0078874440204293,-0.0129474534759523,0.025541890645095,-0.0304873429526163,-0.79446285849171,11.806935635574932,0
pre_combustion_CO2,313.0,16.0,absolute_log_difference,OK,36,4334,4582,0.0128888562879144,0.0081179201015033,0.0171674330597096,0.0055315321208739,0.0004143535651805,0.0100053945860523,-0.0073573241670405,-0.5708283188741358,11.7709983578363,0
pre_combustion_H2,313.0,0.6,absolute_log_difference,OK,36,4337,4585,0.0236910733534913,0.0175275494955628,0.0300542172624381,0.0102352826477411,0.0045640581023156,0.0160500605472199,-0.0134557907057501,-0.5679688085456549,11.806935635574932,0
pre_combustion_H2,313.0,24.0,absolute_log_difference,OK,36,4334,4582,0.033374980981886,0.0264600341043517,0.0401923272098083,0.0067934596557837,-0.0007167041662188,0.0144147679898187,-0.0265815213261023,-0.7964505310288922,11.7709983578363,0
landfill_CH4,338.0,0.01,standardized_absolute_difference,OK,36,4337,4585,0.0852306606747649,0.0556027005579841,0.1178249686421102,0.0613236270398648,0.0333551496774194,0.0890123411105569,-0.0239070336349001,-0.2804980443144506,11.806935635574932,0
landfill_CH4,338.0,4.4,standardized_absolute_difference,OK,36,4337,4585,0.0549312244877304,0.0324957893316129,0.0768834018262588,0.0382664369030357,0.0123610944326264,0.0620520895987352,-0.0166647875846946,-0.3033754979996291,11.806935635574932,0
landfill_CO2,338.0,0.26,standardized_absolute_difference,OK,36,4337,4585,0.1155658778751288,0.0698832790932641,0.1672547184138059,0.0701193245865572,0.0363687880218955,0.1052592900957797,-0.0454465532885715,-0.3932523520279701,11.806935635574932,0
landfill_CO2,338.0,3.2,standardized_absolute_difference,OK,36,4337,4585,0.0582267542119619,0.0391560072813568,0.0797618054655497,0.034030892150399,0.0125015282369932,0.0520979183607873,-0.0241958620615629,-0.4155454376433739,11.806935635574932,0
methane_purification_CH4,298.0,0.9,standardized_absolute_difference,OK,36,4337,4585,0.0864426023818485,0.0465369183939705,0.1308539088863967,0.0471995588652768,0.0209742797987478,0.0739525454503877,-0.0392430435165717,-0.4539780436412695,11.806935635574932,0
methane_purification_CH4,298.0,9.0,standardized_absolute_difference,OK,36,4337,4585,0.0582780390090185,0.0445942726840411,0.0727985993308526,0.0513682446151165,0.0358750868947459,0.0673482001013594,-0.0069097943939019,-0.1185660072198498,11.806935635574932,0
methane_purification_CO2,298.0,0.1,standardized_absolute_difference,OK,36,4337,4585,0.1035815593107984,0.0585850646756069,0.1606161067839509,0.0579588488691427,0.0308951469470094,0.0869168487731244,-0.0456227104416556,-0.4404520529060956,11.806935635574932,0
methane_purification_CO2,298.0,1.0,standardized_absolute_difference,OK,36,4337,4585,0.0384025375177942,0.0179327023177297,0.0598378565305156,0.0324974568845309,0.0130475608461005,0.0514272486873119,-0.0059050806332632,-0.1537679803197149,11.806935635574932,0
methane_storage_CH4,298.0,5.8,standardized_absolute_difference,OK,36,4337,4585,0.0874933629707082,0.0633324372572068,0.1151052845036194,0.0557631954367602,0.0367739444451751,0.0744869110779027,-0.031730167533948,-0.3626579943506216,11.806935635574932,0
methane_storage_CH4,298.0,65.0,standardized_absolute_difference,OK,36,4337,4585,0.0315899491511204,0.0236856324479024,0.0406954556244407,0.0049747467468277,-0.0030750028993067,0.0127826393513153,-0.0266152024042927,-0.8425212170165426,11.806935635574932,0
post_combustion_CO2,298.0,0.015,standardized_absolute_difference,OK,36,4337,4585,0.1349749631047579,0.0421308303580433,0.2334034012060673,0.1471075698839375,0.060843648709929,0.2411261340644663,0.0121326067791795,0.0898878317882043,11.806935635574932,0
post_combustion_CO2,298.0,0.15,standardized_absolute_difference,OK,36,4337,4585,0.0918410601997069,0.0472902095615328,0.1478691859559578,0.0476781069457985,0.0185902982731779,0.0785275077783427,-0.0441629532539084,-0.4808628423700334,11.806935635574932,0
post_combustion_N2,298.0,0.075,standardized_absolute_difference,OK,36,4337,4585,0.0892900802236202,0.0492889574042323,0.1347848834270084,0.081978522108389,0.0124989249230908,0.1615547224801753,-0.0073115581152311,-0.0818854468146958,11.806935635574932,0
post_combustion_N2,298.0,0.75,standardized_absolute_difference,OK,36,4337,4585,0.0243791896062021,-0.016877727210265,0.0557651451507105,0.0446569619922499,-0.0119657726701267,0.1056144190292729,0.0202777723860477,0.8317656457657262,11.806935635574932,0
pre_combustion_CO2,313.0,0.4,standardized_absolute_difference,OK,36,4337,4585,0.0729929111096162,0.0365330219559752,0.1195158265774473,0.0259978745876777,0.0040202402827195,0.0471996523105799,-0.0469950365219384,-0.643830144702192,11.806935635574932,0
pre_combustion_CO2,313.0,16.0,standardized_absolute_difference,OK,36,4334,4582,0.0366096198023573,0.0233192756292742,0.0476771359525468,0.018237072099972,0.0036768938857979,0.0310307243630334,-0.0183725477023853,-0.5018502732771424,11.7709983578363,0
pre_combustion_H2,313.0,0.6,standardized_absolute_difference,OK,36,4337,4585,0.0565155748722761,0.0414948199854338,0.078452449455128,0.0150691646847709,0.0012680628673711,0.0325857747563333,-0.0414464101875052,-0.7333626222713486,11.806935635574932,0
pre_combustion_H2,313.0,24.0,standardized_absolute_difference,OK,36,4334,4582,0.0604999352598835,0.0406063112661477,0.0831088833479768,-0.007175524196673,-0.0234457721170222,0.0098803677063929,-0.0676754594565565,-1.1186038326462642,11.7709983578363,0
